"Localidade";"Ano";"Popula��o Censitéria - Total (Habitante)";"Popula��o Censitéria Masculina - Total (Habitante)";"Popula��o - Cor/Ra�a Branca (Habitante)";"Popula��o - Cor/Ra�a Preta (Habitante)";"Popula��o - Cor/Ra�a Amarela (Habitante)";"Popula��o - Cor/Ra�a Parda (Habitante)";"Popula��o - Cor/Ra�a Ind�gena (Habitante)";"Popula��o - Cor/Ra�a sem Declara��o (Habitante)";"Densidade Demogr�fica - Popula��o Total (Habitante)";"Densidade Demogr�fica - �rea em Hectare (hectare)";"Densidade Demogr�fica - Habitantes por �rea  (Hab/ha)";"Densidade Demogr�fica - �rea em km� (km�)";"�ndices Demogr�ficos - Popula��o Dependente de 0 a 14 Anos (Habitante)";"�ndices Demogr�ficos - Popula��o Dependente de 65 Anos ou Mais (Habitante)";"�ndices Demogr�ficos - Popula��o em Idade Ativa de 15 a 64 Anos (Habitante)";"�ndices Demogr�ficos - Raz�o de Depend�ncia Total  (Percentual)";"�ndices Demogr�ficos - Raz�o de Depend�ncia Jovens  (Percentual)";"�ndices Demogr�ficos - �ndice de Envelhecimento (Percentual)"
"Bom Retiro";"2010";"5.156";"2.373";"4.664";"51";"79";"358";"4";"-";"5.156";"189,82";"27,16";"1,9";"676";"824";"3.656";"41,03";"18,49";"121,89"
"Boqueirão";"2010";"73.178";"35.120";"58.745";"2.115";"752";"11.467";"99";"-";"73.178";"1.474,39";"49,63";"14,74";"15.074";"5.234";"52.870";"38,41";"28,51";"34,72"
"Butiatuvinha";"2010";"12.876";"6.274";"11.013";"388";"80";"1.390";"5";"-";"12.876";"1.043,90";"12,33";"10,44";"2.712";"908";"9.256";"39,11";"29,30";"33,48"
"Cabral";"2010";"13.060";"5.941";"11.963";"115";"335";"627";"20";"-";"13.060";"202,66";"64,44";"2,03";"1.867";"1.330";"9.863";"32,41";"18,93";"71,24"
"Cachoeira";"2010";"9.314";"4.562";"6.666";"342";"55";"2.228";"23";"-";"9.314";"322,16";"28,91";"3,22";"2.267";"566";"6.481";"43,71";"34,98";"24,97"
"Cajuru";"2010";"96.200";"46.252";"67.864";"3.824";"965";"23.395";"152";"-";"96.200";"1.179,38";"81,57";"11,79";"21.329";"6.432";"68.439";"40,56";"31,16";"30,16"
"Campina do Siqueira";"2010";"7.326";"3.383";"6.670";"73";"110";"461";"12";"-";"7.326";"169,75";"43,16";"1,7";"1.124";"774";"5.428";"34,97";"20,71";"68,86"
"Campo Comprido";"2010";"28.816";"13.686";"23.604";"807";"277";"4.199";"82";"-";"28.969";"856,98";"33,80";"8,57";"6.219";"1.410";"21.340";"35,75";"29,14";"22,67"
"Campo de Santana";"2010";"26.657";"13.194";"17.443";"1.027";"69";"7.986";"132";"-";"27.158";"2.157,94";"12,59";"21,58";"8.073";"670";"18.415";"47,48";"43,84";"8,30"
"Capão da Imbuia";"2010";"20.473";"9.613";"16.686";"465";"378";"2.915";"29";"-";"36.065";"324,93";"110,99";"3,25";"3.547";"2.016";"14.910";"37,31";"23,79";"56,84"
"Capão Raso";"2010";"36.065";"17.237";"30.136";"766";"297";"4.827";"39";"-";"20.473";"504,98";"40,54";"5,05";"6.963";"2.886";"26.216";"37,57";"26,56";"41,45"
"Cascatinha";"2010";"2.161";"1.017";"1.893";"25";"21";"216";"6";"-";"2.161";"218,21";"9,90";"2,18";"408";"179";"1.574";"37,29";"25,92";"43,87"
"Caximba";"2010";"2.522";"1.275";"1.872";"97";"11";"512";"30";"-";"2.522";"821,52";"3,07";"8,22";"712";"131";"1.679";"50,21";"42,41";"18,40"
"Centro";"2010";"37.283";"16.925";"31.217";"947";"1.988";"3.051";"73";"7";"37.283";"328,3";"113,56";"3,28";"2.852";"5.032";"29.399";"26,82";"9,70";"176,44"
"Centro cívico";"2010";"4.783";"2.083";"4.307";"42";"142";"287";"5";"-";"4.783";"94,72";"50,50";"0,95";"464";"773";"3.546";"34,88";"13,09";"166,59"
"Cidade Industrial de Curitiba";"2010";"172.822";"83.753";"122.006";"6.780";"980";"42.583";"318";"2";"172.669";"4.431,26";"38,97";"44,31";"40.635";"8.197";"123.837";"39,43";"32,81";"20,17"
"Cristo Rei";"2010";"13.795";"6.285";"12.373";"130";"587";"694";"11";"-";"13.795";"144,7";"95,34";"1,45";"1.505";"1.374";"10.916";"26,37";"13,79";"91,30"
"Fanny";"2010";"8.415";"3.992";"7.129";"177";"132";"960";"17";"-";"8.415";"201,83";"41,69";"2,02";"1.449";"767";"6.199";"35,75";"23,37";"52,93"
"Fazendinha";"2010";"28.074";"13.549";"21.326";"827";"226";"5.670";"25";"-";"28.074";"372,37";"75,39";"3,72";"5.925";"1.735";"20.414";"37,52";"29,02";"29,28"
"Ganchinho";"2010";"11.178";"5.520";"6.867";"414";"47";"3.834";"16";"-";"11.178";"1.135,93";"9,84";"11,36";"3.350";"372";"7.456";"49,92";"44,93";"11,10"
"Guabirotuba";"2010";"11.461";"5.423";"9.633";"240";"325";"1.244";"19";"-";"11.461";"265,44";"43,18";"2,65";"1.954";"1.346";"8.161";"40,44";"23,94";"68,88"
"Gua��ra";"2010";"14.904";"7.173";"11.643";"449";"184";"2.591";"37";"-";"14.904";"231,14";"64,48";"2,31";"2.925";"1.302";"10.677";"39,59";"27,40";"44,51"
"Hauer";"2010";"13.315";"6.227";"11.203";"287";"229";"1.574";"22";"-";"13.315";"399";"33,37";"3,99";"2.284";"1.330";"9.701";"37,25";"23,54";"58,23"
"Hugo Lange";"2010";"3.392";"1.566";"3.153";"41";"81";"115";"2";"-";"3.392";"118,42";"28,64";"1,18";"474";"566";"2.352";"44,22";"20,15";"119,41"
"Jardim Botânico";"2010";"6.172";"2.823";"4.979";"210";"194";"784";"5";"-";"6.172";"275,69";"22,39";"2,76";"858";"874";"4.440";"39,01";"19,32";"101,86"
"Jardim das Américas";"2010";"15.313";"7.382";"13.118";"202";"927";"1.054";"12";"-";"15.313";"385,9";"39,68";"3,86";"2.346";"1.687";"11.280";"35,75";"20,80";"71,91"
"Jardim Social";"2010";"5.698";"2.596";"5.321";"55";"110";"212";"-";"-";"5.698";"195,84";"29,10";"1,96";"775";"1.058";"3.865";"47,43";"20,05";"136,52"
"Juvevê";"2010";"11.582";"5.074";"10.710";"119";"293";"453";"7";"-";"11.582";"123,21";"94,00";"1,23";"1.390";"1.707";"8.485";"36,50";"16,38";"122,81"
"Lamenha Pequena";"2010";"1.056";"519";"789";"20";"-";"243";"4";"-";"1.056";"351,25";"3,01";"3,51";"271";"70";"715";"47,69";"37,90";"25,83"
"Lindóia";"2010";"8.584";"4.101";"6.645";"299";"88";"1.547";"5";"-";"8.584";"118,18";"72,63";"1,18";"1.723";"687";"6.174";"39,03";"27,91";"39,87"
"Mercês";"2010";"12.907";"5.826";"11.762";"165";"216";"758";"6";"-";"12.907";"359,34";"35,92";"3,59";"1.684";"1.909";"9.314";"38,58";"18,08";"113,36"
"Mossunguê";"2010";"9.664";"4.632";"8.647";"93";"158";"754";"12";"-";"9.664";"336,54";"28,72";"3,37";"1.984";"491";"7.189";"34,43";"27,60";"24,75"
"Novo Mundo";"2010";"44.063";"21.031";"36.064";"1.030";"435";"6.496";"38";"-";"44.063";"594,88";"74,07";"5,95";"8.267";"3.439";"32.357";"36,18";"25,55";"41,60"
"Orleans";"2010";"8.105";"3.936";"6.745";"175";"92";"1.086";"7";"-";"8.105";"512,24";"15,82";"5,12";"1.614";"629";"5.862";"38,26";"27,53";"38,97"
"Parolin";"2010";"11.554";"5.559";"8.225";"351";"150";"2.815";"13";"-";"11.554";"225,83";"51,16";"2,26";"2.735";"1.042";"7.777";"48,57";"35,17";"38,10"
"Pilarzinho";"2010";"28.480";"13.564";"22.630";"935";"257";"4.625";"28";"5";"28.480";"710,45";"40,09";"7,1";"5.600";"2.336";"20.544";"38,63";"27,26";"41,71"
"Pinheirinho";"2010";"50.401";"24.670";"38.319";"1.725";"280";"9.969";"108";"-";"50.401";"1.051,38";"47,94";"10,51";"11.401";"2.726";"36.274";"38,95";"31,43";"23,91"
"Portão";"2010";"42.662";"19.736";"37.162";"737";"873";"3.857";"33";"-";"42.662";"585,85";"72,82";"5,86";"6.638";"3.998";"32.026";"33,21";"20,73";"60,23"
"Prado Velho";"2010";"6.077";"2.954";"3.563";"419";"41";"2.046";"8";"-";"6.077";"243,41";"24,97";"2,43";"1.385";"494";"4.198";"44,76";"32,99";"35,67"
"Rebouças";"2010";"14.888";"6.907";"12.579";"283";"600";"1.412";"14";"-";"14.888";"296,61";"50,19";"2,97";"1.546";"1.798";"11.544";"28,97";"13,39";"116,30"
"Riviera";"2010";"289";"146";"208";"4";"2";"75";"-";"-";"289";"243,67";"1,19";"2,44";"58";"20";"211";"36,97";"27,49";"34,48"
"Santa Cândida";"2010";"32.808";"15.648";"25.371";"947";"254";"6.173";"63";"-";"32.808";"1.019,18";"32,19";"10,19";"6.928";"2.059";"23.821";"37,73";"29,08";"29,72"
"Santa Felicidade";"2010";"31.572";"15.079";"27.376";"534";"300";"3.336";"23";"3";"31.572";"1.217,60";"25,93";"12,18";"6.274";"2.330";"22.968";"37,46";"27,32";"37,14"
"Santa Quitéria";"2010";"12.075";"5.682";"9.742";"439";"152";"1.725";"17";"-";"12.075";"210,42";"57,39";"2,1";"2.109";"1.418";"8.548";"41,26";"24,67";"67,24"
"Santo Inácio";"2010";"6.494";"3.180";"5.532";"137";"78";"729";"18";"-";"6.494";"335,83";"19,34";"3,36";"1.189";"505";"4.800";"35,29";"24,77";"42,47"
"São Braz";"2010";"23.559";"11.305";"19.642";"632";"217";"3.021";"47";"-";"23.559";"506,03";"46,56";"5,06";"4.692";"1.779";"17.088";"37,87";"27,46";"37,92"
"São Francisco";"2010";"6.130";"2.749";"5.454";"89";"100";"479";"8";"-";"6.130";"135,45";"45,26";"1,35";"645";"865";"4.620";"32,68";"13,96";"134,11"
"São João";"2010";"3.253";"1.559";"2.622";"93";"18";"505";"15";"-";"3.253";"303,61";"10,71";"3,04";"658";"242";"2.353";"38,25";"27,96";"36,78"
"São Lourenço";"2010";"6.276";"2.987";"5.631";"98";"143";"386";"18";"-";"6.276";"227,47";"27,59";"2,27";"1.012";"698";"4.566";"37,45";"22,16";"68,97"
"São Miguel";"2010";"4.773";"2.422";"3.221";"181";"25";"1.328";"18";"-";"4.773";"753,76";"6,33";"7,54";"1.363";"158";"3.252";"46,77";"41,91";"11,59"
"Seminário";"2010";"6.851";"3.097";"6.290";"60";"157";"340";"4";"-";"6.851";"212,38";"32,26";"2,12";"841";"1.047";"4.963";"38,04";"16,95";"124,49"
"S��tio Cercado";"2010";"115.525";"56.132";"80.162";"5.233";"656";"29.236";"238";"-";"115.525";"1.119,96";"103,15";"11,2";"27.840";"4.772";"82.913";"39,33";"33,58";"17,14"
"Taboão";"2010";"3.396";"1.619";"2.759";"67";"35";"523";"12";"-";"3.396";"182,76";"18,58";"1,83";"703";"228";"2.465";"37,77";"28,52";"32,43"
"Tarumã";"2010";"8.072";"3.839";"6.778";"171";"226";"886";"11";"-";"8.072";"416,98";"19,36";"4,17";"1.231";"929";"5.912";"36,54";"20,82";"75,47"
"Tatuquara";"2010";"52.780";"26.094";"34.336";"2.343";"184";"15.842";"75";"-";"52.279";"1.123,48";"46,53";"11,23";"14.938";"1.526";"35.815";"45,97";"41,71";"10,22"
"Tingui";"2010";"12.319";"5.819";"10.597";"242";"158";"1.308";"14";"-";"12.319";"215,13";"57,26";"2,15";"2.134";"1.161";"9.024";"36,51";"23,65";"54,40"
"Uberaba";"2010";"72.056";"34.959";"54.586";"2.490";"1.026";"13.847";"107";"-";"72.056";"1.420,83";"50,71";"14,21";"16.535";"4.209";"51.312";"40,43";"32,22";"25,46"
"Umbará";"2010";"18.730";"9.270";"14.303";"514";"62";"3.819";"32";"-";"18.730";"2.244,95";"8,34";"22,45";"4.844";"792";"13.094";"43,04";"36,99";"16,35"
"Vila Izabel";"2010";"11.610";"5.269";"10.555";"139";"278";"636";"2";"-";"11.610";"121,65";"95,44";"1,22";"1.580";"1.194";"8.836";"31,39";"17,88";"75,57"
"Vista Alegre";"2010";"11.199";"5.290";"9.689";"223";"167";"1.115";"5";"-";"11.199";"369,88";"30,28";"3,7";"2.091";"1.167";"7.941";"41,03";"26,33";"55,81"
"Xaxim";"2010";"57.182";"27.599";"45.985";"1.554";"546";"9.005";"92";"-";"57.182";"908,54";"62,94";"9,09";"11.998";"3.788";"41.396";"38,13";"28,98";"31,57"
